user,game,genre
aggressivelyaverageplayer,'',
lfrum,'',
coffee_captive,'',
xhalo13x,'',
xxcidxx60,'',
necrozar,'',
gwoonem,'',
jojouth,'',
phantera65,'Battlefield 4',
nyze1610,'',
b1gbossden,'',
stealthtechgaming,'',
akikan000,'',
rune86,'',
afamilyofpuppies,'',
britsky1,'',
chrissie038,'',
dayer2910,'',
deadcanrespawn,'',
hecsalazar,'',
jkoala187,'',
jyxel,'',
khawf,'',
macattac86,'',
mrwozzor,'',
project_bruce,'',
rosantos809,'',
vidx2,'',
wabnappa,'',
water4tw,'',
xxxreddeadxxx,'',
ltiller24,'',
nunuthesavage,'',
erickb4president,'',
3xgaming13,'',
anthony7722,'',
bob_lee_swager84,'',
carlosskate02,'',
charmingvang,'',
childofgod1156,'',
dewirhys7,'',
f4tal_monkey,'',
flirtishus24,'',
frankiefosters,'',
game_junkie71,'',
josh2232,'',
k0k0nl,'',
mjo6678,'',
newarkrome,'',
nicjones83,'',
orangeicon414,'',
ravenouspali,'',
right_again,'',
robonupe,'',
tryster,'',
vargv1kernes,'',
whitequote98,'',
xtortionx,'',
targetheadxd,'',
tanakasenpai_,'',
dr_bugs,'',
karai2b,'',
xxkalabera778xx777,'',
generaltao15,'',
jackie930,'',
djnagorbfikkiloymanphl,'',
testiclaws,'',
redslug,'',
boterie,'',
pecil6,'',
harris_5,'',
disturbedpeace1,'',
dondom,'',
hey_its_avi,'',
cetsdagod,'',
rosca12,'',
pikeyyy,'',
kaptainkartoffel1,'',
goodguykeepo,'',
getnewsubscribers,'',
rooney1971,'',
legitwolf,'',
bigveinyrick,'',
dluffy999,'',
veggy_dishwasher911,'',
hai_pigy,'',
gawdliike,'',
newbie_1337,'',
watermelonkingxd,'',
kylekiller93,'',
xxdemogorgonxx,'',
lugal3211,'',
drkill999,'',
southpaaw0,'',
dansamba21,'',
keeperquotebot,'',
nicod8mus,'',
slivermoons,'',
b00ml2ape,'',
toxicmouse,'',
hai_ily,'',
minniemoomee,'',
waterpr00fteabag,'',
shrillaq,'',
vovangsx,'',
saikodelic,'',
tttaganrog,'',
xtunebuilds,'',
seaking69,'',
defkelset,'',
xxctmxx33961,'',
drragos21,'',
xzimplyeazy,'',
jchau405,'',
nitram_123,'',
chaiikat,'',
madeofiron007,'',
paulovic1,'',
ronald38,'',
warulaf,'',
norgingerboy,'',
stoph242,'',
j_boogie_sf,'',
schlappaho,'',
brgishy,'',
fugwi,'',
fraggleroq316,'',
oo_bootytouch_oo,'',
privateminiarnold,'',
dunkmaster_funk,'',
irishninja72,'',
alphabelgium,'',
tomhuck86,'',
xenerd,'',
falloftheseason,'',
nofight_,'',
vipernlnja,'',
blazeviking,'',
chief__sprout,'',
captainkungfu,'',
garnet4ndblack,'',
kkassem0824,'',
kb1617,'',
loomse,'',
zigztergames,'',
jacosa123,'',
judox27,'',
digital0077,'',
satan1947493,'',
tbads,'',
