user,game,genre,hundreds,thousands,millions,followers,following
danielito5564,'',,False,False,False,2388,185
linuxjoe1,'',,False,False,False,3,19
fruitcake,'Fortnite',survival,False,False,False,13450,59
tracksuit_andy,'',,False,False,False,3202,79
xo_trixy,'',,False,False,False,39325,48
threatii,'',collectible,False,False,False,7307,104
gutor,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,4207,12
simplydusk,'',,False,False,False,69,45
veroomk,'',,False,False,False,1,1
mi_cho,'Creative',battle royale,False,False,False,5409,235
sagatwitch,'',,False,False,False,638,63
ultimatebim,'Hearthstone: Heroes of Warcraft',card game,False,False,False,755,202
kohpverhees,'Tibia',tibia,False,False,False,262,46
axiun,'',,False,False,False,17418,204
ldbean,'Creative',jackbox games,False,False,False,1165,427
hashinshin,'League of Legends',multiplayer  battle arena,False,False,False,309935,27
mafoise,'',,False,False,False,938,41
gaguera,'',,False,False,False,455,77
conradogameplay,'',,False,False,False,38,20
le_gars360,'',,False,False,False,5,3
thejackalswitch,'',,False,False,False,6,5
pumpkinberry,"""No Man's Sky""",adventure,False,False,False,14601,732
white_crow90,'League of Legends',multiplayer  battle arena,False,False,False,3901,81
gamedevcompany,'Creative',,False,False,False,3619,269
deva_hs,'',,False,False,False,720,75
tjbrownmusic,'',,False,False,False,13498,129
nessa_q,'',,False,False,False,4277,12
mpaktv,'',,False,False,False,369,9
supabounce,'Paladins',paladin,False,False,False,37059,535
fzn_virus,'',,False,False,False,57,106
themuffingirl_,'',,False,False,False,962,38
angiestarling,'',,False,False,False,5157,15
benji_r6s,'',,False,False,False,1163,39
gorillawolfgaming,'The Elder Scrolls V: Skyrim',action role-playing,False,False,False,11881,80
politiiks,'',,False,False,False,2782,59
1123987,'',,False,False,False,5938,47
thetegaming,'',,False,False,False,2784,16
lovelybelquis,'',,False,False,False,4168,123
weidenq,'Grand Theft Auto V',action-,False,False,False,18477,98
selloutsquad1,'',,False,False,False,3972,24
rtxrm18,'',,False,False,False,1203,0
hippoling24,'Just Chatting',action role-playing,False,False,False,4337,30
nephaeltv,'',,False,False,False,15962,41
rickishaw,'Fortnite',survival,False,False,False,3458,117
jeysoncc,'',,False,False,False,39,22
hohlx,'',,False,False,False,2486,178
gamerno,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,4683,2
4drstorm,'Fortnite',survival,False,False,False,9163,119
therickrizzo,'ArmA III',tactical shooter,False,False,False,674,235
lemynaid,'League of Legends',online,False,False,False,16907,485
languagehacker,'',,False,False,False,832,230
sung0,'Hearthstone: Heroes of Warcraft',card game,False,False,False,73497,90
miniterraindomain,'',,False,False,False,270,88
iron_ptmn,'',,False,False,False,3699,74
viancyy,'Fortnite',survival,False,False,False,4135,55
noobwifevs,'',,False,False,False,11,9
misterrip,'',,False,False,False,1138,252
masonsteelgaming,'Hearthstone',collectible,False,False,False,780,3
dubpace,'Fortnite',battle royale,False,False,False,4669,276
vuzzey,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,16934,162
fab1ofps,'',,False,False,False,710,102
liquidthermy,'StarCraft II',real-time,False,False,False,10702,138
equuip,'Call of Duty: Black Ops III',first-person shooter,False,False,False,24468,456
eazyeves,'',,False,False,False,205,96
iatethecrayon,'Creative',,False,False,False,359,172
p00rtega,'',,False,False,False,10,7
l7ltitan,'',,False,False,False,60,42
itsjaylife,'',,False,False,False,246584,32
verypalehipster,'',,False,False,False,1993,3
gagai1v69,'',,False,False,False,751,12
valourizers,'',,False,False,False,41,93
reivaxplayz,'',,False,False,False,172,100
gonzossm,'League of Legends',online,False,False,False,56386,59
afflictive,'',,False,False,False,166,56
rbuckley98,'',,False,False,False,448,100
lordmoonstone,'Undertale',role-playing,False,False,False,11471,414
darklyindarknessgh,'Guitar Hero III: Legends of Rock',,False,False,False,1793,292
violetevagarden,'',,False,False,False,21,3
shigetora,'',,False,False,False,130925,16
tsunami_btw,'Fortnite',battle royale,False,False,False,955,94
esl_bpartgaming,'FIFA 18',sports,False,False,False,12458,4
colleesi,'',,False,False,False,13257,56
luyee,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,10384,273
dzk__,'',,False,False,False,909,161
axwq,'',,False,False,False,8,124
livingtombstone,'',,False,False,False,1515,35
dampfguru,'',,False,False,False,382,164
denmish,'Diablo III: Reaper of Souls',hack and slash,False,False,False,51,35
lancunyt,'Dark Souls II',action role-playing,False,False,False,947,0
pcislocked_tr,'',,False,False,False,158,18
tcidda,'Fortnite',battle royale,False,False,False,1981,1271
radiumyo,'',,False,False,False,76,107
bazookya,'Slender: The Eight Pages',survival horror,False,False,False,1165,331
nitestalkr,'',,False,False,False,3,13
slimecicle,'Creative',,False,False,False,12152,10
tesdey,'Hearthstone',collectible,False,False,False,23813,132
xyusxy,'',,False,False,False,1160,8
fresheh,'Rocket League',sports,False,False,False,186,85
serioustigger,'',,False,False,False,1,31
expwy,'',,False,False,False,12542,59
sayko29,'',,False,False,False,258,23
hollowpoiint,'',first-person shooter,False,False,False,28020,7
forcegaming,'Star Crusade CCG',,False,False,False,74817,17
esl_spain,'League of Legends',online,False,False,False,102624,3
